id;nom_contenu;contenu;contenu_content_type
1;Programmable array;../fake-data/blob/hipster.png;image/png
2;Bedfordshire invoice;../fake-data/blob/hipster.png;image/png
3;overriding Account;../fake-data/blob/hipster.png;image/png
4;plum fuchsia paradigms;../fake-data/blob/hipster.png;image/png
5;a Berkshire Buckinghamshire;../fake-data/blob/hipster.png;image/png
6;Borders synthesizing technologies;../fake-data/blob/hipster.png;image/png
7;b Reactive Borders;../fake-data/blob/hipster.png;image/png
8;Sleek;../fake-data/blob/hipster.png;image/png
9;neural;../fake-data/blob/hipster.png;image/png
10;infomediaries service-desk Poitou-Charentes;../fake-data/blob/hipster.png;image/png
