id;nom_evalu;type_evalu;date_eva;heure_deb_eva;heure_fin_eva
1;Luxembourg;Devoir;2022-06-23;2022-06-23T06:16:08;2022-06-23T11:38:28
2;Berkshire Berkshire cross-platform;Test;2022-06-23;2022-06-23T00:32:13;2022-06-23T10:56:12
3;Proactive;Test;2022-06-23;2022-06-23T13:05:55;2022-06-22T18:07:07
4;XSS Tasty Nigeria;Devoir;2022-06-23;2022-06-23T14:02:45;2022-06-23T08:05:41
5;Table bypass de;Test;2022-06-23;2022-06-22T23:09:26;2022-06-23T06:31:51
6;parsing Berkshire index;Test;2022-06-23;2022-06-23T01:17:16;2022-06-23T02:07:02
7;circuit;Test;2022-06-23;2022-06-23T03:04:48;2022-06-23T02:11:27
8;multi-byte;Devoir;2022-06-23;2022-06-23T04:17:58;2022-06-23T13:01:06
9;bypass withdrawal;Test;2022-06-23;2022-06-23T08:34:23;2022-06-23T12:48:50
10;Chips SSL policy;Test;2022-06-23;2022-06-23T11:21:50;2022-06-22T21:18:15
