id;nom_filiere;niveau_qualif;autre_filiere;autre_qualif
1;Environnement;TS;EXE compress bandwidth;cutting-edge b
2;Autres;BT;Electronics b payment;Slovénie PNG Namibia
3;Habillement;BTS;mesh calculating;b Trinité-et-Tobago
4;Restauration_et_hotellorie;BT;program Small;well-modulated calculating Granite
5;Peche;Autres;Monsieur-le-Prince best-of-breed;Home de capacitor
6;Peche;BT;Graphical;withdrawal
7;Artisanat;Autres;Oro c;Avon target b
8;Batimat_Travaux_Publiques;CAEP;bypass Haïti;Investment
9;Sport;BTS;Franche-Comté;feed compress Assistant
10;Peche;BTI;Handcrafted Gloves;Wooden Rustic
