id;libel_ressource;type_ressource;lien_ressource;lien_ressource_content_type;date_mise
1;Outdoors Bourgogne;Evaluation;../fake-data/blob/hipster.png;image/png;2022-06-23T04:23:03
2;Ergonomic Boétie integrated;AppliPeda;../fake-data/blob/hipster.png;image/png;2022-06-23T06:46:50
3;Licensed Stagiaire b;Evaluation;../fake-data/blob/hipster.png;image/png;2022-06-23T11:03:39
4;c channels c;AppliPeda;../fake-data/blob/hipster.png;image/png;2022-06-23T03:58:46
5;base;Evaluation;../fake-data/blob/hipster.png;image/png;2022-06-23T12:56:10
6;a ivory;Evaluation;../fake-data/blob/hipster.png;image/png;2022-06-23T09:51:43
7;Iranian Pizza;AppliPeda;../fake-data/blob/hipster.png;image/png;2022-06-22T18:18:54
8;Grands;SupportCours;../fake-data/blob/hipster.png;image/png;2022-06-23T02:27:48
9;Argentine;SupportCours;../fake-data/blob/hipster.png;image/png;2022-06-23T05:53:33
10;scalable;AppliPeda;../fake-data/blob/hipster.png;image/png;2022-06-23T14:04:46
