id;jour_seance;date_seance;date_debut;date_fin
1;Mercredi;2022-06-22;2022-06-22T16:20:01;2022-06-22T23:19:13
2;Mardi;2022-06-23;2022-06-23T15:08:16;2022-06-22T19:32:47
3;Jeudi;2022-06-23;2022-06-23T01:56:07;2022-06-23T08:29:02
4;Dimanche;2022-06-23;2022-06-22T22:27:14;2022-06-22T21:58:21
5;Vendredi;2022-06-23;2022-06-23T06:08:33;2022-06-22T18:25:49
6;Lundi;2022-06-23;2022-06-23T02:47:25;2022-06-23T12:22:33
7;Dimanche;2022-06-23;2022-06-23T10:34:14;2022-06-22T20:12:53
8;Mercredi;2022-06-22;2022-06-22T17:33:08;2022-06-23T01:19:39
9;Jeudi;2022-06-22;2022-06-23T04:44:07;2022-06-23T02:27:22
10;Lundi;2022-06-23;2022-06-23T09:24:32;2022-06-23T12:46:20
