id;nom_syllabus;syllabus;syllabus_content_type
1;best-of-breed payment;../fake-data/blob/hipster.png;image/png
2;transition b Licensed;../fake-data/blob/hipster.png;image/png
3;invoice heuristic;../fake-data/blob/hipster.png;image/png
4;Borders;../fake-data/blob/hipster.png;image/png
5;connect function;../fake-data/blob/hipster.png;image/png
6;copy solution online;../fake-data/blob/hipster.png;image/png
7;Account Avon;../fake-data/blob/hipster.png;image/png
8;c;../fake-data/blob/hipster.png;image/png
9;deposit generate;../fake-data/blob/hipster.png;image/png
10;programming;../fake-data/blob/hipster.png;image/png
